まほうのカギをつかいますか？,Use Magic Key?
"#{ItemText(""StorehouseKey"")}を みつけた。","Found <_ar>#{ItemText(""StorehouseKey"")}</_ar>."
"#{ItemText(""StorehouseKey"")}を つかいますか？","Use <_ar>#{ItemText(""StorehouseKey"")}</_ar>?"
"#{ItemText(""Key"")}を つかいますか？","Use <_ar>#{ItemText(""Key"")}</_ar>?"
せーの！,"Ready, set, push!"
うごかしますか？,Move the rock?
おもくてうごかせない。,It's too heavy to move.
どこからか こえが きこえる…,You heard a voice from somewhere...
きこえるか？ハカセだ。,This is the Professor. Are you reading me?
まもなくラボに てんそうする。,I'm about to transfer you back to the lab.
テンソウヲ カイシシマス。,Initializing teleportation...
どこからか こえが 聞こえる…,You heard a voice from the air...
こっちへおいで…,Come here...
おいで…,Follow my voice...
おまえに 力を さずけよう…,I'll give you power...
赤い結晶を みつけた！,Found a Red Crystal!
とくべつな力を えた！,You obtained a special skill!
ああ、 ぼくは ここで カイブツを みるために まちぶせているんだ。,I'm waiting here to watch out the Monster.
だいじょうぶ。 すぐに にげるよ。,"Don't worry, I'll run away as soon as it appears."
倉庫のカギのばしょ おしえるよ？,Want me to tell you where the vault key is?
倉庫のいりぐちの すぐ左の木に カギは あるらしいんだ。,I heard it's in the tree to the left of the door.
だいじな じょうほうだよ。,Be sure to keep that in mind.
